avg_delay,date,defacto,max_delay,nr_ontime,nr_records,planned,staion_name,station_num
0.265060240964,2013-12-29,17:46,6,154,166,17:40,Sderot,9600
1.48645438606,2013-12-14,19:36,84,10522,17681,18:12,Kfar Habbad,4800
1.41714528824,2013-04-12,11:13,118,3212,4701,09:15,Be'er Sheva North University,7300
1.4939309057,2013-12-01,21:25,211,10510,18207,17:54,Lod,5000
0.352406597105,2013-01-07,08:56,34,2754,2971,08:22,Modiin,300
1.25339087546,2013-01-06,10:53,55,2573,3244,09:58,Ashkelon,5900
1.10726987015,2013-01-08,10:33,63,16452,24182,09:30,Tel Aviv - University,3600
1.9406467458,2013-04-12,11:21,118,1533,2443,09:23,Be'er Sheva Center,7320
1.65392156863,2013-12-01,21:21,209,4604,8160,17:52,Ramla,5010
0.962058647516,2013-06-16,08:56,83,6052,8355,07:33,Hutsot HaMifrats,1300
1.5087398188,2013-07-26,11:21,114,6718,10927,09:27,Haifa Bat Gallim,2200
2.30866093366,2013-12-31,19:23,70,5459,13024,18:13,Kesariyya - Pardes Hanna,2820
0.296253267499,2013-12-16,08:22,26,6204,6886,07:56,Petah Tikva Sgulla,4250
0.373683301675,2013-01-01,22:33,226,4990,5791,18:47,Rishon LeTsiyyon - Moshe Dayan,9800
2.2215133651,2013-12-15,09:39,60,6074,12383,08:39,Hadera West,3100
1.42651056983,2013-12-14,19:34,84,11007,18023,18:10,Ganey Aviv,5150
0.824871001032,2013-12-17,09:40,62,8126,9690,08:38,Kiryat Motzkin,800
0.530003468609,2013-10-06,09:40,20,2380,2883,09:20,Hod HaSharon,9200
2.38503468781,2013-09-01,08:33,80,1604,4036,07:13,Yavne,5410
1.12947472886,2013-04-28,10:18,167,18973,28214,07:31,Tel Aviv HaHagana,4900
1.11510675871,2013-10-11,14:50,300,4776,6229,09:50,Ashdod Ad Halom,5800
2.03425559947,2013-12-14,18:59,79,712,1518,17:40,Bet Shemesh,6300
1.7035115032,2013-12-17,09:25,88,9318,17343,07:57,Herzliyya,3500
0.405609631148,2013-07-02,09:18,30,6487,7808,08:48,Holon - Wolfson,4660
0.500400855158,2013-01-01,22:35,220,5805,7484,18:55,Bat Yam - Yoseftal,4680
1.33948105958,2013-07-26,11:25,113,7588,11061,09:32,Haifa Center HaShmona,2100
1.30169128156,2013-06-16,08:52,83,5871,8396,07:29,Leb Hmifratz,1220
1.46458583433,2013-09-01,08:41,76,4984,9163,07:25,Be'er Ya'akov,5300
0.971264367816,2013-06-16,08:58,83,6793,8352,07:35,Kiryat Hayyim,700
2.15775034294,2013-12-12,19:25,58,896,1458,18:27,Nahariyya,1600
0.453865688488,2013-07-02,09:15,28,5738,7088,08:47,Holon Junction,4640
2.02046599496,2013-12-31,20:11,102,3657,6352,18:29,Atlit,2500
1.75009935091,2013-04-28,09:54,116,8052,15098,07:58,Bet Yehoshua,3400
1.08090614887,2013-01-08,10:17,33,1006,1545,09:44,Rishon LeTsiyyon HaRishonim,9100
1.20787332946,2013-11-13,19:22,30,3233,6884,18:52,Petah Tikva Kiryat Arye,4170
0.462633451957,2013-11-03,18:21,11,435,562,18:10,Dimona,7500
2.01892081289,2013-09-01,08:38,77,2494,5708,07:21,Rehovot E. Hadar,5200
0.377251808021,2013-01-01,22:34,222,6523,7605,18:52,Bat Yam - Komemiyyut,4690
1.51323269947,2013-04-12,10:39,112,3130,5101,08:47,Kiryat Gat,7000
1.43115805356,2013-12-13,09:51,68,2025,2651,08:43,Jerusalem Biblical Zoo,6500
1.53103066125,2013-06-16,09:13,84,3719,5414,07:49,Akko,1500
0.365361803084,2013-11-13,19:26,35,5949,6744,18:51,Rosh Ha'Ayin North,8800
0.637730690362,2013-01-08,18:56,27,1277,1463,18:29,Modiin Center,400
0.363925599608,2013-05-02,09:35,50,3708,4086,08:45,Ben Gurion Airport,8600
1.99845724361,2013-12-17,09:11,83,6592,13612,07:48,Natanya,3300
1.14482602802,2013-12-17,10:43,83,3317,4426,09:20,Lehavim - Rahat,8550
0.508563701923,2013-11-13,19:31,35,5288,6656,18:56,Kfar Sava,8700
2.23911530431,2013-12-31,19:28,73,6062,12931,18:15,Binyamina,2800
0.324315920398,2013-01-17,07:57,31,2942,3216,07:26,Yavne - West,9000
1.16565806426,2013-01-08,10:27,62,16988,25613,09:25,Tel Aviv Center - Savidor,3700
1.08592359304,2013-12-17,09:39,88,19628,29212,08:11,Tel Aviv HaShalom,4600
1.59733460257,2013-07-26,11:16,117,7081,10505,09:19,Haifa Hof HaKarmel (Razi'el),2300
0.439313984169,2013-05-24,08:18,34,5738,6822,07:44,Bne Brak,4100
2.68019093079,2013-12-13,09:55,68,900,1257,08:47,Jerusalem Malha,6700
